title,image_loc,image_link,Spalte1
"Violations:
1. The headline of the dialog is a question, which should be an unambiguous statement per Material Design 3 guidelines. 2. The primary action button text 'Ok' is vague.

Changes:
1. Change the headline to 'Permanently delete 2 messages?'. 2. Update the primary action button text to 'Delete'.",../User Study Sample/one_step/1_dialog/1_dialog_dialog_combined.jpg,https://drive.google.com/file/d/1aOZefCDafE_l8pG43At1-XKU4p8Hmmdt/view?usp=drivesdk,
"Violations:
The top app bar in the mockup uses a small-centered configuration, which should be used for the main root page of an app. However, the left-aligned leading icon and the right-aligned trailing icon are not appropriate for a centered configuration. The headline text should be centered with no leading or trailing icons.

Changes:
Remove the leading and trailing icons to ensure the headline remains centered in the top app bar.",../User Study Sample/one_step/0_bottom_app_bar/0_bottom_app_bar_top_app_bar_combined.jpg,https://drive.google.com/file/d/1nwzCQ3A37jEreb1TLdohp0Nl975POYd1/view?usp=drivesdk,
"Violations:
The divider below the volume section is a full-width divider, but the section below it (language selection) is related content. According to Material Design 3 Guidelines, an inset divider should be used to separate related content within a section.

Changes:
Replace the full-width divider with an inset divider to better group the related content.",../User Study Sample/one_step/0_checkbox/0_checkbox_divider_combined.jpg,https://drive.google.com/file/d/14rIpamny_0JTTqnmh7Js2pb-LbXVCj_P/view?usp=drivesdk,
"Violations:
1. Positioning issue: The FAB is located near the top right of the screen. According to Material Design guidelines, FABs should be placed in the bottom right corner to be easily accessible using thumbs. This violation is quite severe because it affects the usability and accessibility of the FAB. 2. Overlapping issue: The FAB is placed in a position where it might overlap with other content, making it difficult for users to distinguish interactable areas. This violation is moderately severe because it can lead to confusion about the interactable areas and impede the visibility of other content.

Changes:
1. Reposition the FAB to the bottom right corner of the screen to improve accessibility and adherence to the guidelines. Ensure it does not overlap with any navigation or bottom app bars.",../User Study Sample/one_step/0_card/0_card_fab_combined.jpg,https://drive.google.com/file/d/1QmRL7Xp4BIC1Sxf8zgaRQH_k68x6_FXB/view?usp=drivesdk,
"Violations:
1. Button inside carousel item: Buttons should not be placed inside carousel items. 2. Carousel items too small: The last item in the carousel is too small to be easily recognizable.

Changes:
1. Remove the button from the carousel item. 2. Increase the width of the carousel items to make them more recognizable.",../User Study Sample/one_step/0_carousel/0_carousel_carousel_combined.jpg,https://drive.google.com/file/d/1OlxlDrMHGc7XeqEmDRHl_eAW-conMo-g/view?usp=drivesdk,
"Violations:
1. The use of a full-width divider below the 'Volume' section is appropriate. However, the divider's color (#C1C9BEFF) might be too light, potentially making it less visible and thereby reducing its effectiveness in separating sections. Material Design Guidelines suggest that dividers should be visible but not overly bold.
2. The divider's position might be too close to the 'Volume' section, which could make the visual separation less effective. Material Design Guidelines suggest using dividers with enough spacing to clearly separate sections.


Changes:
1. Adjust the color of the divider to a slightly darker shade to ensure it is visible but not overly bold. A color like #B0B0B0FF could be more appropriate.
2. Ensure there is adequate spacing between the 'Volume' section and the divider to enhance the visual separation. Adding a few more pixels of space above the divider can make the separation clearer.
",../User Study Sample/two_step/1_switch/1_switch_divider_combined.jpg,https://drive.google.com/file/d/1zdkQpWZ0YKBcp39YOnPd5Fq_I4WlFWiE/view?usp=drivesdk,
"Violations:
1. Inconsistent Icon Button Weights: The icon buttons in the top app bar and the frame below it have inconsistent icon weights. Some icons appear bolder while others are lighter. According to Material Design 3 guidelines, icons in the same component should have the same weight. (Severity: High)
2. Ambiguous Button Styles: The buttons 'Edit profile' and 'Share profile' have different styles even though they are next to each other and serve similar purposes. This inconsistency can confuse users. (Severity: Medium)


Changes:
1. Standardize the icon weights across all icon buttons within the same component to ensure uniformity.
2. Use the same button style for 'Edit profile' and 'Share profile' to maintain visual consistency and avoid confusion.
",../User Study Sample/two_step/0_common_button/0_common_button_icon_button_combined.jpg,https://drive.google.com/file/d/1a_ufwmt1wx7M45ZaLc47lLoXF4yPrv_p/view?usp=drivesdk,
"Violations:
1. The bottom app bar contains a FAB placed outside the bottom app bar. According to Material Design 3 guidelines, an FAB should never be placed outside of the bottom app bar.
2. The snackbar messages cover the bottom app bar, which should not happen. Snackbars should appear above the bottom app bar and not cover it.


Changes:
1. Move the FAB into the bottom app bar and place it in a consistent position, such as the center or right side of the bottom app bar.
2. Adjust the position of the snackbar messages so that they appear above the bottom app bar, ensuring they do not cover it.
",../User Study Sample/two_step/0_snackbar/0_snackbar_bottom_app_bar_combined.jpg,https://drive.google.com/file/d/1-X3Z6jUPKh07qlK-6AUQwSqFrEndUpRF/view?usp=drivesdk,
"Violations:
{'description': 'The FAB is placed near the top right corner of the screen. According to Material Design guidelines, FABs should be placed in the bottom right corner to be easily accessible using thumbs.', 'severity': 'high'}
{'description': 'The FAB is overlapping with the bottom navigation bar. FABs should be placed above any navigation bar or similar element and not overlap with it.', 'severity': 'moderate'}


Changes:
{'description': 'Relocate the FAB to the bottom right corner of the screen, ensuring it does not overlap with any navigation or bottom app bars.'}
{'description': 'Ensure the FAB is placed above the bottom navigation bar without overlapping it. Adjust the position values (Top and Left) accordingly to maintain a clear separation between the FAB and the bottom bar content.'}
",../User Study Sample/two_step/1_bottom_app_bar/1_bottom_app_bar_fab_combined.jpg,https://drive.google.com/file/d/1-QKUY8jUise2lD_-2qRTMIIkTsoyT8J5/view?usp=drivesdk,
"Violations:
1. The segmented button segments use both icons and label text, but the selected segment icon has a different weight compared to the text. 2. The segments are not styled consistently: the 'Delivery' segment uses a selected icon, while the 'Pick Up' segment does not.

Changes:
1. Ensure that the icons and label text have the same weight, so they appear visually balanced. 2. Consistently style the segments by either including icons in both segments or removing them from both segments.",../User Study Sample/two_step/0_segmented_button/0_segmented_button_segmented_button_combined.jpg,https://drive.google.com/file/d/1sD9S7c14QoMHaO9-sifJY4Fc5HlA2NeT/view?usp=drivesdk,
"Violations:
1. Inconsistent Icon Button Weight and Color: The icons inside the icon buttons have different weights and colors. The 'Share' icon has a different weight and color compared to the 'Bookmark' icon. According to Material Design 3 guidelines, icons in the same component should have the same weight and color to maintain visual consistency and clarity. (Severity: High)
2. Misalignment of Text Labels: The text labels 'Share' and 'Bookmark' are not consistently aligned. 'Share' is left-aligned, while 'Bookmark' is slightly off-center. Text labels should be consistently aligned to ensure a clean and cohesive look. (Severity: Medium)


Changes:
1. Standardize the weight and color of the icons inside the icon buttons to ensure they match. This will improve visual consistency and make it clear that these buttons are part of the same component group.
2. Adjust the alignment of the text labels 'Share' and 'Bookmark' to ensure they are consistently aligned. This will create a more cohesive and visually appealing layout.
",../User Study Sample/two_step/1_bottom_sheet/1_bottom_sheet_icon_button_combined.jpg,https://drive.google.com/file/d/1OSP1FxdU-4BXYvJqvFgZ5083xhvkMMT9/view?usp=drivesdk,
"Violations:
1. The use of full-width dividers (#C1C9BEFF, light grey) between the stacked cards is appropriate, but the height of the dividers (1.0000280141830444px) might be too thin, making them less visible and potentially confusing for users. Material Design Guidelines suggest that dividers should be visible but not bold.


Changes:
1. Increase the height of the dividers slightly to make them more visible. A height of around 2px would maintain visibility without being too bold.
",../User Study Sample/two_step/0_badge/0_badge_divider_combined.jpg,https://drive.google.com/file/d/14YENPS2H0Ggna_Cyuc6ScWBQgcAyslwd/view?usp=drivesdk,
"Violations:
1. The checkboxes in the 'Select all' section and the individual items are correctly used. However, the dialog box that appears when moving items to a folder is not clearly connected to the checkboxes, which may cause confusion for the user. This could be improved by making it more obvious that the action is related to the selected items.


Changes:
1. Add a clear visual connection or indication that the dialog box is related to the selected checkboxes. This could be done by highlighting the selected items or adding a brief message in the dialog box that mentions the number of selected items.
",../User Study Sample/two_step/0_dialog/0_dialog_checkbox_combined.jpg,https://drive.google.com/file/d/1-Z_ZnzWL7PEu-nMi4mtV63b8A-jShAAH/view?usp=drivesdk,
"Violations:
{'severity': 'high', 'description': 'The cards contain repetitive content. According to Material Design 3 Guidelines, information should be succinct, unambiguous, and not repetitive. Having multiple cards with the same content can confuse users and clutter the interface.'}
{'severity': 'medium', 'description': ""The cards are missing clear visual hierarchy. The 'Call this contact' action in the first card is not visually distinct as an actionable element. According to Material Design 3 Guidelines, it should never be ambiguous which parts of the UI can be interacted with.""}


Changes:
{'change': 'Combine repetitive cards into a single card or list item to reduce redundancy and make the information more succinct.'}
{'change': ""Make the 'Call this contact' action more visually distinct by using a button or a chip component to clearly indicate it as an actionable element.""}
",../User Study Sample/two_step/0_carousel/0_carousel_card_combined.jpg,https://drive.google.com/file/d/1dq2aMY2s7nnCGtMzBhCBHsNTvVWMstJ_/view?usp=drivesdk,
"Violations:
1. The divider in the 'Hi, Firstname Lastname!' section is too bold and dark (#000000FF, Black), which makes it visually disruptive and detracts from the readability of the section it divides. Material Design Guidelines suggest that dividers should be visible but not bold.
2. The dividers in the 'Account Settings' list are inset dividers, but they extend too close to the edges of the container, making them appear almost like full-width dividers. This can make the layout look cluttered.


Changes:
1. Change the color of the divider in the 'Hi, Firstname Lastname!' section to a more neutral and less bold color, such as #C1C9BEFF (light grey), to make it less disruptive while still maintaining visibility.
2. Adjust the inset dividers in the 'Account Settings' list to ensure they have sufficient space from the edges of the container. This will help in maintaining a clean and uncluttered layout.
",../User Study Sample/two_step/0_divider/0_divider_divider_combined.jpg,https://drive.google.com/file/d/163Jgb0FZgYSB35JP3MHrxzc1ALhSrNRV/view?usp=drivesdk,
"Violations:
1. The radio buttons are nested within a div with the same top and left positions, which makes them appear as if they are overlapping. This can cause confusion as to which radio button is selected. 2. There is no preselected option for the radio buttons, which is against the guideline that there should always be a preselected option when using radio buttons.

Changes:
1. Ensure that the radio buttons are not overlapping by adjusting their top and left positions. 2. Set one of the radio buttons as the preselected option.",../User Study Sample/two_step/0_switch/0_switch_radio_button_combined.jpg,https://drive.google.com/file/d/1CAWZE5LgATFCmRlRMTQamURWWz0hLc_a/view?usp=drivesdk,
"Violations:
{'severity': 'high', 'description': ""The badge displaying the message 'A user has reported you' is too long for a badge. Badges should have text no longer than 4 characters to maintain readability and avoid clutter.""}
{'severity': 'medium', 'description': ""The badge displaying the number '3' on the icon in the second code snippet has a background color (#BA1A1AFF) that may not provide enough contrast with the icon it is associated with. This could make the badge less noticeable.""}


Changes:
{'description': 'Shorten the text on the badge to a maximum of 4 characters. Consider using an icon or a shorter label to convey the message.'}
{'description': 'Change the badge background color to a more contrasting color that stands out against the icon and its surroundings. For example, using a brighter or more vibrant color can make the badge more noticeable.'}
",../User Study Sample/two_step/0_badge/0_badge_badge_combined.jpg,https://drive.google.com/file/d/1puLfeNZDnUmqJBbWHEH_MiauYgnLiiTH/view?usp=drivesdk,
"Violations:
{'severity': 'high', 'description': ""The 'A user has reported you' badge is not placed in a way that makes it clear what it is associated with. According to Material Design 3 Guidelines, messages and popups should appear where users are likely to see them and in a way that makes their context clear.""}
{'severity': 'medium', 'description': ""The cards contain repetitive information ('Lorem ipsum dolor sit amet...') which makes them harder to scan. According to Material Design 3 Guidelines, information should be succinct, unambiguous, and not repetitive.""}


Changes:
{'change': ""Move the 'A user has reported you' badge closer to the relevant content it is associated with, such as next to the user's profile picture or name.""}
{'change': ""Reduce the amount of repetitive placeholder text ('Lorem ipsum dolor sit amet...') in the cards to make the content more succinct and easier to scan.""}
",../User Study Sample/two_step/0_badge/0_badge_card_combined.jpg,https://drive.google.com/file/d/1KJHbgRdYUMvTwa2R7rzQZEwIH4kffmnq/view?usp=drivesdk,
"Violations:
{'severity': 'low', 'description': ""The small badge is placed very close to the text label 'JOURNAL'. This close proximity might make the badge appear cluttered or difficult to distinguish from the text label. According to the Material Design 3 Guidelines, elements that do not belong together should not appear to be grouped.""}


Changes:
{'description': ""Increase the spacing between the badge and the text label 'JOURNAL' to ensure that they do not appear to be grouped together. This can make the badge more distinguishable and reduce visual clutter.""}
",../User Study Sample/two_step/0_navigation_drawer/0_navigation_drawer_badge_combined.jpg,https://drive.google.com/file/d/1P1i8Eueizm4fmrvFMqmUWe0oTEhSLzgL/view?usp=drivesdk,
"Violations:
{'severity': 'high', 'description': 'The cards contain a large amount of text, which can be overwhelming and difficult to scan quickly. According to Material Design 3 Guidelines, information should be easy to scan for relevant and actionable information and should have a clear hierarchy.'}
{'severity': 'medium', 'description': ""The 'Actions' section of the cards includes multiple buttons that are very close to each other. According to Material Design 3 Guidelines, click goals should be large enough to hit and not too close to each other.""}
{'severity': 'low', 'description': ""The 'Subhead' text in the 'Header' section of the cards is slightly crowded. According to Material Design 3 Guidelines, text should always be easy to read and not too small or crowded.""}


Changes:
{'change': ""Reduce the amount of text in the 'Title' section to make it more succinct and easier to read. Consider breaking up the text into smaller, more digestible chunks or using bullet points.""}
{'change': ""Increase the spacing between the buttons in the 'Actions' section to ensure they are not too close to each other and are easy to interact with.""}
{'change': ""Increase the spacing around the 'Subhead' text in the 'Header' section to make it easier to read and less crowded.""}
",../User Study Sample/two_step/1_badge/1_badge_card_combined.jpg,https://drive.google.com/file/d/1H9FUTYx9dk8Q7SYhMBB4asgCnLFKnG7u/view?usp=drivesdk,
